Name,Business Unit,Plain Status,Stage,Monthly Revenue,Onboarding date,Target live date,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
CRM Migration – Phase 1,United Kingdom,Live,Live,8000,2025-09-15,2025-12-01,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
Data Warehouse Modernization,Germany,Onboarding,Onboarding,5000,2026-01-10,2026-03-15,0,0,2500,5000,5000,5000,5000,5000,5000,5000,5000,5000
Predictive Maintenance Platform,France,Confirming,Confirming,12000,2026-02-01,2026-06-20,0,0,0,0,0,6000,12000,12000,12000,12000,12000,12000
Supply Chain Analytics,Netherlands,Confirming,Confirming,3000,2026-03-01,2026-07-15,0,0,0,0,0,0,1500,3000,3000,3000,3000,3000
Customer 360 Dashboard,United Kingdom,Evaluating,Evaluating,7000,2026-03-15,2026-08-30,0,0,0,0,0,0,0,3500,7000,7000,7000,7000
ESG Reporting Automation,Germany,Evaluating,Evaluating,4000,2026-04-01,2026-09-15,0,0,0,0,0,0,0,0,2000,4000,4000,4000
AI-Powered Quality Control,Spain,Evaluating,Evaluating,6000,2026-05-01,2026-10-30,0,0,0,0,0,0,0,0,0,3000,6000,6000
Fleet Management IoT,North America,Evaluating,Evaluating,9000,2026-04-15,2026-11-01,0,0,0,0,0,0,0,0,0,0,4500,9000
Real-Time Pricing Engine,France,Scoping,Scoping,5000,2026-06-01,2026-12-15,0,0,0,0,0,0,0,0,0,0,0,2500
Digital Twin – Factory Floor,Belgium,Scoping,Scoping,10000,2026-07-01,2027-01-30,0,0,0,0,0,0,0,0,0,0,0,0
Automated Compliance Reporting,Switzerland,Scoping,Scoping,3500,2026-08-01,2027-02-15,0,0,0,0,0,0,0,0,0,0,0,0
