Name,Business Unit,Status,Monthly Revenue,Onboarding date,Target live date,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06
Warehouse Automation – Phase 1,Spain,Live,5000,2025-10-27,2025-11-14,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Fleet Route Optimization,United Kingdom,Live,9000,2025-09-06,2025-12-23,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
Demand Forecasting Engine,Spain,Live,5000,2025-05-13,2025-11-14,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Supplier Portal Rollout,Germany,Live,5000,2025-06-04,2025-12-04,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Inventory Sync – EU Region,EMEA,Live,3000,2025-10-10,2025-12-18,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Predictive Maintenance Hub,North America,Live,3000,2025-06-12,2025-12-19,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Returns Processing Overhaul,Spain,Live,18000,2025-09-07,2025-12-03,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
Last-Mile Delivery Tracker,Germany,Live,12000,2025-04-09,2025-11-06,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Cold Chain Monitoring,EMEA,Live,6000,2025-05-08,2025-12-04,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
Cross-Dock Scheduling Tool,United Kingdom,Live,12000,2025-09-24,2025-12-18,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Customs Compliance Gateway,Belgium,Onboarding,15000,2026-01-07,2026-02-11,0,10714,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
Order Fulfillment Dashboard,France,Onboarding,5000,2026-01-23,2026-04-17,0,535,2202,4047,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Freight Rate Calculator,United Kingdom,Onboarding,12000,2026-02-21,2026-03-25,0,0,3000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Container Yard Planner,Spain,Onboarding,30000,2026-02-04,2026-03-13,0,0,20270,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
Real-Time Shipment Visibility,France,Confirming,5000,2026-04-11,2026-07-17,0,0,0,0,1030,2628,4175,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Quality Inspection App,Belgium,Confirming,15000,2026-04-14,2026-07-07,0,0,0,0,3035,8571,13928,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
Vendor Scorecard System,Spain,Confirming,5000,2026-02-05,2026-06-29,0,0,833,1909,2951,4027,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Carbon Footprint Tracker,North America,Confirming,12000,2026-02-10,2026-05-10,0,0,2561,6741,10786,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Multi-Carrier Booking Engine,Belgium,Confirming,5000,2026-03-20,2026-06-23,0,0,0,631,2210,3842,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Digital Proof of Delivery,France,Evaluating,15000,2026-03-22,2026-09-22,0,0,0,815,3260,5788,8233,10760,13288,15000,15000,15000,15000,15000,15000,15000,15000,15000
Yard Management – Expansion,United Kingdom,Evaluating,9000,2026-05-26,2026-10-31,0,0,0,0,0,341,2050,3816,5582,7291,9000,9000,9000,9000,9000,9000,9000,9000
Picking & Packing Optimizer,Spain,Evaluating,5000,2026-05-18,2026-09-28,0,0,0,0,0,526,1654,2819,3984,5000,5000,5000,5000,5000,5000,5000,5000,5000
Load Planning Algorithm,Germany,Evaluating,9000,2026-03-22,2026-10-16,0,0,0,432,1730,3072,4370,5711,7052,8350,9000,9000,9000,9000,9000,9000,9000,9000
Reverse Logistics Portal,France,Evaluating,12000,2026-06-28,2027-02-15,0,0,0,0,0,0,155,1758,3362,4913,6517,8068,9672,11275,12000,12000,12000,12000
Asset Tracking – IoT Rollout,North America,Evaluating,15000,2026-06-17,2026-09-29,0,0,0,0,0,0,2019,6490,10961,15000,15000,15000,15000,15000,15000,15000,15000,15000
Safety Incident Reporter,North America,Evaluating,3000,2026-06-13,2026-11-30,0,0,0,0,0,0,317,864,1411,1941,2488,3000,3000,3000,3000,3000,3000,3000
Driver Compliance Module,France,Evaluating,12000,2026-03-10,2026-08-01,0,0,0,1833,4333,6916,9416,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Dynamic Slotting Engine,Germany,Evaluating,15000,2026-03-29,2026-11-01,0,0,0,207,2281,4423,6497,8640,10783,12857,15000,15000,15000,15000,15000,15000,15000,15000
Packaging Waste Reducer,France,Evaluating,30000,2026-03-20,2026-08-24,0,0,0,2292,8025,13949,19681,25605,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
Warehouse Energy Monitor,North America,Scoping,9000,2026-08-22,2027-05-06,0,0,0,0,0,0,0,0,350,1400,2486,3536,4622,5708,6688,7774,8824,9000
Customer ETA Predictor,United Kingdom,Scoping,18000,2026-08-28,2027-04-07,0,0,0,0,0,0,0,0,324,2756,5270,7702,10216,12729,15000,17513,18000,18000
Inbound Scheduling Portal,United Kingdom,Scoping,9000,2026-05-06,2027-01-11,0,0,0,0,0,936,2016,3132,4248,5328,6444,7524,8640,9000,9000,9000,9000,9000
Automated Reorder System,France,Scoping,5000,2026-04-13,2027-03-19,0,0,0,0,264,720,1161,1617,2073,2514,2970,3411,3867,4323,4735,5000,5000,5000
Dock Door Assignment,EMEA,Scoping,6000,2026-09-08,2027-02-15,0,0,0,0,0,0,0,0,0,862,2025,3150,4312,5475,6000,6000,6000,6000
Pallet Tracking RFID,Belgium,Scoping,18000,2026-08-31,2027-01-14,0,0,0,0,0,0,0,0,132,4102,8205,12176,16279,18000,18000,18000,18000,18000
Temperature Alert System,France,Scoping,18000,2026-08-31,2027-04-27,0,0,0,0,0,0,0,0,75,2334,4669,6928,9263,11598,13707,16041,18000,18000
Route Deviation Analyzer,Germany,Scoping,12000,2026-08-20,2027-07-26,0,0,0,0,0,0,0,0,423,1482,2576,3635,4729,5823,6811,7905,8964,10058
Labor Scheduling Tool,EMEA,Scoping,5000,2026-09-22,2027-09-03,0,0,0,0,0,0,0,0,0,130,578,1011,1459,1907,2312,2760,3193,3641
Cycle Count Automation,Germany,Scoping,12000,2026-09-12,2027-04-07,0,0,0,0,0,0,0,0,0,1101,2898,4637,6434,8231,9855,11652,12000,12000
Outbound Staging Planner,EMEA,Scoping,12000,2026-07-21,2026-12-28,0,0,0,0,0,0,0,825,3150,5400,7725,9975,12000,12000,12000,12000,12000,12000
Freight Audit Module,France,Scoping,3000,2026-06-07,2027-02-10,0,0,0,0,0,0,290,665,1040,1403,1778,2141,2516,2891,3000,3000,3000,3000
Claims Management Portal,Belgium,Validating,6000,2026-09-07,2027-01-02,0,0,0,0,0,0,0,0,0,1230,2820,4358,5948,6000,6000,6000,6000,6000
Capacity Planning Dashboard,Belgium,Validating,12000,2026-10-11,2027-05-18,0,0,0,0,0,0,0,0,0,0,1150,2794,4493,6191,7726,9424,11068,12000
Hazmat Compliance Tracker,Germany,Validating,9000,2026-06-09,2026-12-11,0,0,0,0,0,0,1070,2578,4086,5545,7054,8513,9000,9000,9000,9000,9000,9000
Cross-Border Documentation,Belgium,Validating,6000,2026-09-16,2027-07-02,0,0,0,0,0,0,0,0,0,311,955,1577,2221,2865,3446,4089,4712,5356
Last-Mile Cost Analyzer,Germany,Validating,3000,2026-10-01,2027-03-22,0,0,0,0,0,0,0,0,0,0,540,1063,1604,2145,2633,3000,3000,3000
